Date,Open,High,Low,Close,Adj Close,Volume
2023-11-02,85.194000,83.325897,83.170502,85.194000,85.194000,0
2023-11-03,83.247299,83.328003,83.145401,83.247299,83.247299,0
2023-11-06,83.158501,83.259697,82.976601,83.158501,83.158501,0
2023-11-07,83.222801,83.280899,83.144501,83.222801,83.222801,0
2023-11-08,83.232697,83.315300,83.184303,83.232697,83.232697,0
2023-11-09,83.217697,83.309097,83.218697,83.217697,83.217697,0
2023-11-10,83.319397,83.525803,83.231697,83.319397,83.319397,0
2023-11-13,83.298897,83.399101,83.218201,83.298897,83.298897,0
2023-11-14,83.197601,83.333000,82.908997,83.197601,83.197601,0
2023-11-15,82.981598,83.205902,82.921997,82.981598,82.981598,0
2023-11-16,83.186203,83.264397,82.993301,83.186203,83.186203,0
2023-11-17,83.120300,83.283699,83.136398,83.120300,83.120300,0
2023-11-20,83.291496,83.414497,83.203697,83.291496,83.291496,0
2023-11-21,83.322197,83.370796,83.237000,83.322197,83.322197,0
2023-11-22,83.345703,83.346100,83.259598,83.345703,83.345703,0
2023-11-23,83.548302,83.353798,83.178299,83.548302,83.548302,0
2023-11-24,83.344002,83.407204,83.296501,83.344002,83.344002,0
2023-11-27,83.314499,83.428596,83.308502,83.314499,83.314499,0
2023-11-28,83.364502,83.422501,83.306000,83.364502,83.364502,0
2023-11-29,83.418098,83.418098,83.255402,83.418098,83.418098,0
2023-11-30,83.330299,83.411301,83.186996,83.330299,83.330299,0
2023-12-01,83.352699,83.361298,83.248901,83.352699,83.352699,0
2023-12-04,83.218597,83.454102,83.197701,83.218597,83.218597,0
2023-12-05,83.417099,83.431602,83.328796,83.417099,83.417099,0
2023-12-06,83.315903,83.372299,83.288002,83.315903,83.315903,0
2023-12-07,83.289597,83.391701,83.292801,83.289597,83.289597,0
2023-12-08,83.354897,83.454002,81.026001,83.354897,83.354897,0
2023-12-11,83.430099,83.441002,83.357300,83.430099,83.430099,0
2023-12-12,83.343498,83.423798,83.339401,83.343498,83.343498,0
2023-12-13,83.396004,83.442596,83.346802,83.396004,83.396004,0
2023-12-14,83.285301,83.364098,83.244400,83.285301,83.285301,0
2023-12-15,83.296600,83.330200,82.942200,83.296600,83.296600,0
2023-12-18,83.041702,83.154701,82.918800,83.041702,83.041702,0
2023-12-19,83.111198,83.274200,83.065002,83.111198,83.111198,0
2023-12-20,83.091599,83.227203,83.033096,83.091599,83.091599,0
2023-12-21,83.267197,83.329697,83.141998,83.267197,83.267197,0
2023-12-22,83.131599,83.274498,83.042297,83.131599,83.131599,0
2023-12-25,83.165001,83.172302,83.165001,83.165001,83.165001,0
2023-12-26,83.172302,83.214699,83.104202,83.172302,83.172302,0
2023-12-27,83.182800,83.349197,83.121201,83.182800,83.182800,0
2023-12-28,83.267197,83.335701,83.159203,83.267197,83.267197,0
2023-12-29,82.302002,83.252998,82.702400,82.302002,82.302002,0
2024-01-01,83.248596,83.237999,83.150002,83.248596,83.248596,0
2024-01-02,83.202599,83.343002,83.169800,83.202599,83.202599,0
2024-01-03,83.257004,83.333702,83.246201,83.257004,83.257004,0
2024-01-04,83.318100,83.360298,83.202103,83.318100,83.318100,0
2024-01-05,83.240601,83.271599,83.035004,83.240601,83.240601,0
2024-01-08,83.191101,83.189697,83.028297,83.191101,83.191101,0
2024-01-09,83.050697,83.134399,83.020699,83.050697,83.050697,0
2024-01-10,83.131104,83.182198,82.954803,83.131104,83.131104,0
2024-01-11,83.025597,83.110001,82.933296,83.025597,83.025597,0
2024-01-12,83.076103,83.094002,82.779099,83.076103,83.076103,0
2024-01-15,82.872101,82.894997,82.809998,82.872101,82.872101,0
2024-01-16,82.859398,83.140404,82.827301,82.859398,82.859398,0
2024-01-17,83.088997,83.213997,83.017502,83.088997,83.088997,0
2024-01-18,83.177597,83.188698,83.055298,83.177597,83.177597,0
2024-01-19,83.160599,83.230797,83.042000,83.160599,83.160599,0
2024-01-22,83.124702,83.180496,83.024803,83.124702,83.124702,0
2024-01-23,83.095100,83.181000,81.513702,83.095100,83.095100,0
2024-01-24,83.221397,83.222504,83.070999,83.221397,83.221397,0
2024-01-25,83.097603,83.150398,83.078003,83.097603,83.097603,0
2024-01-26,83.146103,83.185898,83.074097,83.146103,83.146103,0
2024-01-29,83.121300,83.161400,83.122101,83.121300,83.121300,0
2024-01-30,83.153099,83.212601,83.091003,83.153099,83.153099,0
2024-01-31,83.109703,83.125603,83.000999,83.109703,83.109703,0
2024-02-01,83.053596,83.079102,82.911903,83.053596,83.053596,0
2024-02-02,82.927597,83.033096,82.815002,82.927597,82.927597,0
2024-02-05,82.999298,83.091003,82.954697,82.999298,82.999298,0
2024-02-06,83.103699,83.070000,82.982300,83.103699,83.103699,0
2024-02-07,83.070602,83.077698,82.935997,83.070602,83.070602,0
2024-02-08,83.012604,83.010399,82.898003,83.012604,83.012604,0
2024-02-09,82.985298,83.047600,82.920998,82.985298,82.985298,0
2024-02-12,83.014503,83.123901,82.880997,83.014503,83.014503,0
2024-02-13,82.990196,83.111397,82.961700,82.990196,82.990196,0
2024-02-14,83.074600,83.115997,83.013000,83.074600,83.074600,0
2024-02-15,83.043098,83.050697,82.962799,83.043098,83.043098,0
2024-02-16,83.009598,83.052299,82.972801,83.009598,83.009598,0
2024-02-19,83.015999,83.051598,82.912102,83.015999,83.015999,0
2024-02-20,83.021004,83.034103,82.891701,83.021004,83.021004,0
2024-02-21,82.829102,82.964600,82.813004,82.829102,82.829102,0
2024-02-22,82.938400,82.986801,82.817001,82.938400,82.938400,0
2024-02-23,82.872299,82.945702,82.834999,82.872299,82.872299,0
2024-02-26,82.881798,82.949203,82.844597,82.881798,82.881798,0
2024-02-27,82.851997,82.916901,82.825996,82.851997,82.851997,0
2024-02-28,82.948196,83.004097,82.869904,82.948196,82.948196,0
2024-02-29,82.911903,83.022003,82.839996,82.911903,82.911903,0
2024-03-01,82.910400,82.928596,82.846001,82.910400,82.910400,0
2024-03-04,82.846100,82.997902,82.816200,82.846100,82.846100,0
2024-03-05,82.910500,82.992699,82.698097,82.910500,82.910500,0
2024-03-06,82.884804,82.910698,82.799004,82.884804,82.884804,0
2024-03-07,82.819099,82.858101,82.658997,82.819099,82.819099,0
2024-03-08,82.752296,82.791603,82.666000,82.752296,82.752296,0
2024-03-11,82.752098,82.771004,82.660004,82.752098,82.752098,0
2024-03-12,82.778297,82.848297,82.730103,82.778297,82.778297,0
2024-03-13,82.835098,82.913101,82.758400,82.835098,82.835098,0
2024-03-14,82.831100,82.950302,82.806999,82.831100,82.831100,0
2024-03-15,82.965599,82.975403,82.834000,82.965599,82.965599,0
2024-03-18,82.888901,82.928101,82.833000,82.888901,82.888901,0
2024-03-19,82.863602,83.045700,82.863998,82.863602,82.863602,0
2024-03-20,83.042397,83.220703,82.960999,83.042397,83.042397,0
2024-03-21,83.054604,83.221603,82.893700,83.054604,83.054604,0
2024-03-22,83.226601,83.715698,83.181900,83.226601,83.226601,0
2024-03-25,83.593597,83.600700,83.352303,83.593597,83.593597,0
2024-03-26,83.417397,83.496300,83.267502,83.417397,83.417397,0
2024-03-27,83.345497,83.435898,83.289703,83.345497,83.345497,0
2024-03-28,83.364998,83.415298,83.309799,83.364998,83.364998,0
2024-03-29,83.392998,83.399597,83.232597,83.392998,83.392998,0
2024-04-01,83.364799,83.416801,83.238998,83.364799,83.364799,0
2024-04-02,83.409698,83.474403,83.334000,83.409698,83.409698,0
2024-04-03,83.350304,83.580299,83.332001,83.350304,83.350304,0
2024-04-04,83.373299,83.513496,83.360001,83.373299,83.373299,0
